================================================================================
SDV Synthetic Data Quality Report
================================================================================
Generated on: 2025-06-11 19:33:09
Real Data: flat-training.csv (100000 rows, 80 columns)
Synthetic Data: synthetic_data.csv (100000 rows, 80 columns)
================================================================================

1. Overall Quality Score
--------------------------------------------------
Score: 84.88% (Higher is better)
Description: Aggregated score of column shapes and pair trends.

2. Column Shapes (Distribution Similarity)
--------------------------------------------------
Evaluates how well synthetic data matches the distribution of individual columns.

Column                         Metric               Score     
zebra                          peacock                        92.43%    
zebra                          bat                            87.99%    
zebra                          fox                            91.58%    
zebra                          beaver                         89.69%    
zebra                          monkey                         87.71%    
zebra                          seal                           64.26%    
zebra                          robin                          92.16%    
zebra                          loon                           44.67%    
zebra                          swan                           87.51%    
zebra                          goldfish                       89.01%    
zebra                          minnow                         92.77%    
zebra                          mole                           79.93%    
zebra                          shrew                          86.44%    
zebra                          puffin                         91.99%    
zebra                          owl                            91.83%    
zebra                          bunny                          79.69%    
zebra                          bear                           81.51%    
zebra                          chipmunk                       82.92%    
zebra                          cub                            78.49%    
zebra                          acorn                          84.24%    
zebra                          leaf                           85.10%    
zebra                          cloud                          14.48%    
zebra                          rainbow                        85.77%    
zebra                          puddle                         92.63%    
zebra                          berry                          74.96%    
zebra                          apple                          88.61%    
zebra                          honey                          82.84%    
zebra                          pumpkin                        84.90%    
zebra                          teddy                          89.50%    
zebra                          blanket                        84.43%    
zebra                          button                         88.15%    
zebra                          whistle                        88.09%    
zebra                          marble                         88.85%    
zebra                          wagon                          82.99%    
zebra                          storybook                      91.27%    
zebra                          candle                         82.49%    
zebra                          clover                         83.24%    
zebra                          bubble                         78.38%    
zebra                          cookie                         82.02%    
flamingo                       peacock                        87.93%    
flamingo                       bat                            87.33%    
flamingo                       fox                            87.00%    
flamingo                       beaver                         99.02%    
flamingo                       monkey                         85.96%    
flamingo                       seal                           97.35%    
flamingo                       robin                          87.54%    
flamingo                       loon                           92.15%    
flamingo                       swan                           85.41%    
flamingo                       goldfish                       98.59%    
flamingo                       minnow                         87.87%    
flamingo                       mole                           86.37%    
flamingo                       shrew                          81.72%    
flamingo                       puffin                         99.91%    
flamingo                       owl                            84.88%    
flamingo                       bunny                          79.05%    
flamingo                       bear                           92.86%    
flamingo                       chipmunk                       79.55%    
flamingo                       cub                            99.58%    
flamingo                       acorn                          95.84%    
flamingo                       leaf                           82.25%    
flamingo                       cloud                          98.82%    
flamingo                       rainbow                        87.79%    
flamingo                       puddle                         87.79%    
flamingo                       berry                          98.49%    
flamingo                       apple                          98.56%    
flamingo                       honey                          79.86%    
flamingo                       pumpkin                        99.58%    
flamingo                       teddy                          85.07%    
flamingo                       blanket                        81.72%    
flamingo                       button                         99.49%    
flamingo                       whistle                        97.66%    
flamingo                       marble                         85.71%    
flamingo                       wagon                          90.63%    
flamingo                       storybook                      99.97%    
flamingo                       candle                         80.64%    
flamingo                       clover                         93.35%    
flamingo                       bubble                         82.54%    
flamingo                       cookie                         78.46%    
peacock                        bat                            97.71%    
peacock                        fox                            96.91%    
peacock                        beaver                         90.35%    
peacock                        monkey                         91.26%    
peacock                        seal                           87.32%    
peacock                        robin                          98.34%    
peacock                        loon                           45.48%    
peacock                        swan                           91.76%    
peacock                        goldfish                       90.14%    
peacock                        minnow                         98.71%    
peacock                        mole                           93.11%    
peacock                        shrew                          91.09%    
peacock                        puffin                         98.76%    
peacock                        owl                            98.52%    
peacock                        bunny                          79.87%    
peacock                        bear                           82.32%    
peacock                        chipmunk                       85.12%    
peacock                        cub                            79.72%    
peacock                        acorn                          88.39%    
peacock                        leaf                           86.34%    
peacock                        cloud                          14.64%    
peacock                        rainbow                        92.44%    
peacock                        puddle                         99.03%    
peacock                        berry                          75.92%    
peacock                        apple                          89.39%    
peacock                        honey                          82.84%    
peacock                        pumpkin                        87.28%    
peacock                        teddy                          91.13%    
peacock                        blanket                        85.68%    
peacock                        button                         90.48%    
peacock                        whistle                        89.30%    
peacock                        marble                         94.30%    
peacock                        wagon                          84.13%    
peacock                        storybook                      93.33%    
peacock                        candle                         83.16%    
peacock                        clover                         84.12%    
peacock                        bubble                         84.15%    
peacock                        cookie                         83.46%    
bat                            fox                            96.80%    
bat                            beaver                         89.97%    
bat                            monkey                         90.19%    
bat                            seal                           86.62%    
bat                            robin                          97.75%    
bat                            loon                           44.93%    
bat                            swan                           90.26%    
bat                            goldfish                       89.71%    
bat                            minnow                         96.67%    
bat                            mole                           90.38%    
bat                            shrew                          89.63%    
bat                            puffin                         96.82%    
bat                            owl                            97.84%    
bat                            bunny                          79.91%    
bat                            bear                           81.70%    
bat                            chipmunk                       84.03%    
bat                            cub                            79.61%    
bat                            acorn                          87.22%    
bat                            leaf                           84.06%    
bat                            cloud                          14.23%    
bat                            rainbow                        92.10%    
bat                            puddle                         97.24%    
bat                            berry                          75.74%    
bat                            apple                          89.11%    
bat                            honey                          82.73%    
bat                            pumpkin                        86.01%    
bat                            teddy                          91.28%    
bat                            blanket                        84.99%    
bat                            button                         89.32%    
bat                            whistle                        89.23%    
bat                            marble                         92.31%    
bat                            wagon                          82.91%    
bat                            storybook                      92.34%    
bat                            candle                         83.41%    
bat                            clover                         83.50%    
bat                            bubble                         84.39%    
bat                            cookie                         83.06%    
fox                            beaver                         88.53%    
fox                            monkey                         91.26%    
fox                            seal                           86.26%    
fox                            robin                          94.28%    
fox                            loon                           44.69%    
fox                            swan                           84.64%    
fox                            goldfish                       88.18%    
fox                            minnow                         97.08%    
fox                            mole                           92.89%    
fox                            shrew                          91.02%    
fox                            puffin                         96.18%    
fox                            owl                            96.49%    
fox                            bunny                          68.75%    
fox                            bear                           82.06%    
fox                            chipmunk                       84.80%    
fox                            cub                            78.53%    
fox                            acorn                          86.56%    
fox                            leaf                           86.33%    
fox                            cloud                          14.25%    
fox                            rainbow                        86.39%    
fox                            puddle                         94.77%    
fox                            berry                          75.54%    
fox                            apple                          87.83%    
fox                            honey                          81.01%    
fox                            pumpkin                        85.68%    
fox                            teddy                          90.97%    
fox                            blanket                        83.99%    
fox                            button                         88.89%    
fox                            whistle                        87.77%    
fox                            marble                         94.35%    
fox                            wagon                          80.03%    
fox                            storybook                      92.35%    
fox                            candle                         82.20%    
fox                            clover                         81.62%    
fox                            bubble                         83.51%    
fox                            cookie                         81.58%    
beaver                         monkey                         86.82%    
beaver                         seal                           98.14%    
beaver                         robin                          90.25%    
beaver                         loon                           97.94%    
beaver                         swan                           88.25%    
beaver                         goldfish                       98.62%    
beaver                         minnow                         90.55%    
beaver                         mole                           88.82%    
beaver                         shrew                          99.90%    
beaver                         puffin                         100.00%   
beaver                         owl                            90.53%    
beaver                         bunny                          76.31%    
beaver                         bear                           99.80%    
beaver                         chipmunk                       82.64%    
beaver                         cub                            99.87%    
beaver                         acorn                          98.87%    
beaver                         leaf                           84.98%    
beaver                         cloud                          99.68%    
beaver                         rainbow                        99.96%    
beaver                         puddle                         89.98%    
beaver                         berry                          98.04%    
beaver                         apple                          99.94%    
beaver                         honey                          78.45%    
beaver                         pumpkin                        99.93%    
beaver                         teddy                          87.87%    
beaver                         blanket                        83.04%    
beaver                         button                         99.70%    
beaver                         whistle                        99.33%    
beaver                         marble                         89.27%    
beaver                         wagon                          98.42%    
beaver                         storybook                      99.92%    
beaver                         candle                         79.88%    
beaver                         clover                         98.11%    
beaver                         bubble                         82.74%    
beaver                         cookie                         80.58%    
monkey                         seal                           86.83%    
monkey                         robin                          91.48%    
monkey                         loon                           43.90%    
monkey                         swan                           86.29%    
monkey                         goldfish                       73.57%    
monkey                         minnow                         91.66%    
monkey                         mole                           87.37%    
monkey                         shrew                          85.10%    
monkey                         puffin                         89.58%    
monkey                         owl                            91.22%    
monkey                         bunny                          80.12%    
monkey                         bear                           80.48%    
monkey                         chipmunk                       81.18%    
monkey                         cub                            77.35%    
monkey                         acorn                          66.03%    
monkey                         leaf                           82.52%    
monkey                         cloud                          13.78%    
monkey                         rainbow                        85.08%    
monkey                         puddle                         91.49%    
monkey                         berry                          59.62%    
monkey                         apple                          76.43%    
monkey                         honey                          82.84%    
monkey                         pumpkin                        81.19%    
monkey                         teddy                          87.12%    
monkey                         blanket                        77.19%    
monkey                         button                         85.76%    
monkey                         whistle                        86.43%    
monkey                         marble                         87.49%    
monkey                         wagon                          80.50%    
monkey                         storybook                      89.42%    
monkey                         candle                         49.06%    
monkey                         clover                         82.61%    
monkey                         bubble                         83.78%    
monkey                         cookie                         67.61%    
seal                           robin                          86.81%    
seal                           loon                           99.43%    
seal                           swan                           85.75%    
seal                           goldfish                       99.68%    
seal                           minnow                         84.50%    
seal                           mole                           81.54%    
seal                           shrew                          96.63%    
seal                           puffin                         96.87%    
seal                           owl                            86.77%    
seal                           bunny                          76.21%    
seal                           bear                           96.52%    
seal                           chipmunk                       81.68%    
seal                           cub                            95.70%    
seal                           acorn                          99.76%    
seal                           leaf                           80.29%    
seal                           cloud                          99.91%    
seal                           rainbow                        94.56%    
seal                           puddle                         86.81%    
seal                           berry                          99.95%    
seal                           apple                          99.09%    
seal                           honey                          78.29%    
seal                           pumpkin                        99.94%    
seal                           teddy                          84.58%    
seal                           blanket                        81.74%    
seal                           button                         99.75%    
seal                           whistle                        99.95%    
seal                           marble                         86.46%    
seal                           wagon                          97.39%    
seal                           storybook                      99.94%    
seal                           candle                         79.43%    
seal                           clover                         95.49%    
seal                           bubble                         79.92%    
seal                           cookie                         78.73%    
robin                          loon                           45.20%    
robin                          swan                           91.51%    
robin                          goldfish                       90.16%    
robin                          minnow                         98.72%    
robin                          mole                           93.21%    
robin                          shrew                          90.97%    
robin                          puffin                         98.79%    
robin                          owl                            98.69%    
robin                          bunny                          79.13%    
robin                          bear                           82.34%    
robin                          chipmunk                       85.33%    
robin                          cub                            79.20%    
robin                          acorn                          87.75%    
robin                          leaf                           86.48%    
robin                          cloud                          14.53%    
robin                          rainbow                        92.54%    
robin                          puddle                         98.96%    
robin                          berry                          75.98%    
robin                          apple                          88.95%    
robin                          honey                          82.18%    
robin                          pumpkin                        86.77%    
robin                          teddy                          91.82%    
robin                          blanket                        85.29%    
robin                          button                         90.44%    
robin                          whistle                        89.63%    
robin                          marble                         94.18%    
robin                          wagon                          82.91%    
robin                          storybook                      93.21%    
robin                          candle                         83.14%    
robin                          clover                         83.28%    
robin                          bubble                         83.65%    
robin                          cookie                         83.17%    
loon                           swan                           42.23%    
loon                           goldfish                       97.46%    
loon                           minnow                         44.96%    
loon                           mole                           44.96%    
loon                           shrew                          99.30%    
loon                           puffin                         99.49%    
loon                           owl                            44.86%    
loon                           bunny                          43.08%    
loon                           bear                           94.61%    
loon                           chipmunk                       43.82%    
loon                           cub                            86.82%    
loon                           acorn                          97.42%    
loon                           leaf                           42.20%    
loon                           cloud                          99.73%    
loon                           rainbow                        94.16%    
loon                           puddle                         44.57%    
loon                           berry                          95.32%    
loon                           apple                          99.09%    
loon                           honey                          42.71%    
loon                           pumpkin                        99.86%    
loon                           teddy                          44.04%    
loon                           blanket                        43.23%    
loon                           button                         99.97%    
loon                           whistle                        99.28%    
loon                           marble                         43.73%    
loon                           wagon                          77.73%    
loon                           storybook                      99.30%    
loon                           candle                         42.64%    
loon                           clover                         81.97%    
loon                           bubble                         44.01%    
loon                           cookie                         42.75%    
swan                           goldfish                       86.18%    
swan                           minnow                         92.03%    
swan                           mole                           86.37%    
swan                           shrew                          85.88%    
swan                           puffin                         91.52%    
swan                           owl                            92.36%    
swan                           bunny                          69.81%    
swan                           bear                           80.02%    
swan                           chipmunk                       81.45%    
swan                           cub                            77.25%    
swan                           acorn                          81.81%    
swan                           leaf                           81.95%    
swan                           cloud                          14.19%    
swan                           rainbow                        83.74%    
swan                           puddle                         90.10%    
swan                           berry                          74.58%    
swan                           apple                          87.87%    
swan                           honey                          74.71%    
swan                           pumpkin                        81.63%    
swan                           teddy                          87.97%    
swan                           blanket                        81.23%    
swan                           button                         86.12%    
swan                           whistle                        87.28%    
swan                           marble                         88.16%    
swan                           wagon                          75.79%    
swan                           storybook                      89.37%    
swan                           candle                         82.62%    
swan                           clover                         82.46%    
swan                           bubble                         83.00%    
swan                           cookie                         79.38%    
goldfish                       minnow                         90.08%    
goldfish                       mole                           87.46%    
goldfish                       shrew                          96.98%    
goldfish                       puffin                         97.21%    
goldfish                       owl                            90.07%    
goldfish                       bunny                          77.70%    
goldfish                       bear                           97.25%    
goldfish                       chipmunk                       82.23%    
goldfish                       cub                            97.56%    
goldfish                       acorn                          74.28%    
goldfish                       leaf                           83.96%    
goldfish                       cloud                          99.96%    
goldfish                       rainbow                        99.46%    
goldfish                       puddle                         89.87%    
goldfish                       berry                          85.52%    
goldfish                       apple                          92.49%    
goldfish                       honey                          81.36%    
goldfish                       pumpkin                        99.83%    
goldfish                       teddy                          86.13%    
goldfish                       blanket                        61.15%    
goldfish                       button                         99.43%    
goldfish                       whistle                        99.97%    
goldfish                       marble                         88.52%    
goldfish                       wagon                          98.27%    
goldfish                       storybook                      99.69%    
goldfish                       candle                         73.10%    
goldfish                       clover                         97.58%    
goldfish                       bubble                         83.49%    
goldfish                       cookie                         49.51%    
minnow                         mole                           89.20%    
minnow                         shrew                          90.81%    
minnow                         puffin                         98.22%    
minnow                         owl                            98.04%    
minnow                         bunny                          80.13%    
minnow                         bear                           82.71%    
minnow                         chipmunk                       85.37%    
minnow                         cub                            77.87%    
minnow                         acorn                          88.01%    
minnow                         leaf                           66.26%    
minnow                         cloud                          14.48%    
minnow                         rainbow                        90.98%    
minnow                         puddle                         98.62%    
minnow                         berry                          76.02%    
minnow                         apple                          89.21%    
minnow                         honey                          82.32%    
minnow                         pumpkin                        86.93%    
minnow                         teddy                          91.60%    
minnow                         blanket                        85.01%    
minnow                         button                         89.81%    
minnow                         whistle                        89.72%    
minnow                         marble                         94.22%    
minnow                         wagon                          82.22%    
minnow                         storybook                      92.74%    
minnow                         candle                         83.49%    
minnow                         clover                         84.02%    
minnow                         bubble                         84.02%    
minnow                         cookie                         83.24%    
mole                           shrew                          86.14%    
mole                           puffin                         92.38%    
mole                           owl                            93.12%    
mole                           bunny                          79.96%    
mole                           bear                           81.51%    
mole                           chipmunk                       82.22%    
mole                           cub                            79.08%    
mole                           acorn                          84.87%    
mole                           leaf                           76.69%    
mole                           cloud                          14.54%    
mole                           rainbow                        88.51%    
mole                           puddle                         93.15%    
mole                           berry                          75.41%    
mole                           apple                          88.73%    
mole                           honey                          82.55%    
mole                           pumpkin                        83.99%    
mole                           teddy                          89.53%    
mole                           blanket                        83.96%    
mole                           button                         87.30%    
mole                           whistle                        87.56%    
mole                           marble                         88.72%    
mole                           wagon                          81.77%    
mole                           storybook                      89.77%    
mole                           candle                         83.71%    
mole                           clover                         84.39%    
mole                           bubble                         84.05%    
mole                           cookie                         81.67%    
shrew                          puffin                         98.32%    
shrew                          owl                            89.67%    
shrew                          bunny                          78.81%    
shrew                          bear                           89.33%    
shrew                          chipmunk                       79.78%    
shrew                          cub                            92.58%    
shrew                          acorn                          95.93%    
shrew                          leaf                           80.53%    
shrew                          cloud                          98.23%    
shrew                          rainbow                        86.42%    
shrew                          puddle                         90.99%    
shrew                          berry                          96.30%    
shrew                          apple                          99.53%    
shrew                          honey                          82.25%    
shrew                          pumpkin                        99.80%    
shrew                          teddy                          87.37%    
shrew                          blanket                        82.51%    
shrew                          button                         99.66%    
shrew                          whistle                        98.67%    
shrew                          marble                         89.86%    
shrew                          wagon                          87.80%    
shrew                          storybook                      99.51%    
shrew                          candle                         82.40%    
shrew                          clover                         83.99%    
shrew                          bubble                         82.02%    
shrew                          cookie                         80.01%    
puffin                         owl                            98.70%    
puffin                         bunny                          74.26%    
puffin                         bear                           99.99%    
puffin                         chipmunk                       85.42%    
puffin                         cub                            98.08%    
puffin                         acorn                          98.11%    
puffin                         leaf                           85.64%    
puffin                         cloud                          99.60%    
puffin                         rainbow                        99.85%    
puffin                         puddle                         98.48%    
puffin                         berry                          99.04%    
puffin                         apple                          96.54%    
puffin                         honey                          71.76%    
puffin                         pumpkin                        99.77%    
puffin                         teddy                          90.27%    
puffin                         blanket                        83.64%    
puffin                         button                         99.39%    
puffin                         whistle                        98.20%    
puffin                         marble                         93.65%    
puffin                         wagon                          94.62%    
puffin                         storybook                      99.47%    
puffin                         candle                         82.41%    
puffin                         clover                         95.27%    
puffin                         bubble                         83.85%    
puffin                         cookie                         81.01%    
owl                            bunny                          80.05%    
owl                            bear                           79.58%    
owl                            chipmunk                       85.39%    
owl                            cub                            77.79%    
owl                            acorn                          88.02%    
owl                            leaf                           85.96%    
owl                            cloud                          14.19%    
owl                            rainbow                        88.58%    
owl                            puddle                         98.81%    
owl                            berry                          76.47%    
owl                            apple                          89.43%    
owl                            honey                          82.93%    
owl                            pumpkin                        86.56%    
owl                            teddy                          91.40%    
owl                            blanket                        85.11%    
owl                            button                         87.58%    
owl                            whistle                        89.42%    
owl                            marble                         94.15%    
owl                            wagon                          82.30%    
owl                            storybook                      91.66%    
owl                            candle                         82.81%    
owl                            clover                         79.22%    
owl                            bubble                         84.70%    
owl                            cookie                         83.40%    
bunny                          bear                           76.24%    
bunny                          chipmunk                       76.98%    
bunny                          cub                            70.36%    
bunny                          acorn                          75.05%    
bunny                          leaf                           79.82%    
bunny                          cloud                          13.45%    
bunny                          rainbow                        70.88%    
bunny                          puddle                         77.12%    
bunny                          berry                          68.27%    
bunny                          apple                          76.37%    
bunny                          honey                          63.57%    
bunny                          pumpkin                        77.58%    
bunny                          teddy                          79.27%    
bunny                          blanket                        74.93%    
bunny                          button                         80.02%    
bunny                          whistle                        77.33%    
bunny                          marble                         79.32%    
bunny                          wagon                          71.31%    
bunny                          storybook                      80.01%    
bunny                          candle                         73.69%    
bunny                          clover                         72.80%    
bunny                          bubble                         75.58%    
bunny                          cookie                         71.88%    
bear                           chipmunk                       74.08%    
bear                           cub                            83.87%    
bear                           acorn                          97.79%    
bear                           leaf                           76.99%    
bear                           cloud                          98.95%    
bear                           rainbow                        82.42%    
bear                           puddle                         82.33%    
bear                           berry                          97.06%    
bear                           apple                          99.20%    
bear                           honey                          77.94%    
bear                           pumpkin                        100.00%   
bear                           teddy                          80.84%    
bear                           blanket                        79.85%    
bear                           button                         99.73%    
bear                           whistle                        98.21%    
bear                           marble                         80.50%    
bear                           wagon                          92.14%    
bear                           storybook                      98.89%    
bear                           candle                         78.38%    
bear                           clover                         73.08%    
bear                           bubble                         81.44%    
bear                           cookie                         76.91%    
chipmunk                       cub                            70.28%    
chipmunk                       acorn                          79.38%    
chipmunk                       leaf                           78.03%    
chipmunk                       cloud                          14.22%    
chipmunk                       rainbow                        81.55%    
chipmunk                       puddle                         85.12%    
chipmunk                       berry                          72.62%    
chipmunk                       apple                          82.68%    
chipmunk                       honey                          78.40%    
chipmunk                       pumpkin                        78.34%    
chipmunk                       teddy                          82.07%    
chipmunk                       blanket                        79.73%    
chipmunk                       button                         82.03%    
chipmunk                       whistle                        81.09%    
chipmunk                       marble                         82.50%    
chipmunk                       wagon                          75.03%    
chipmunk                       storybook                      78.36%    
chipmunk                       candle                         79.35%    
chipmunk                       clover                         78.32%    
chipmunk                       bubble                         79.43%    
chipmunk                       cookie                         77.81%    
