================================================================================
SDV Synthetic Data Quality Report
================================================================================
Generated on: 2025-06-11 19:33:09
Real Data: flat-training.csv (100000 rows, 80 columns)
Synthetic Data: synthetic_data.csv (100000 rows, 80 columns)
================================================================================

1. Overall Quality Score
--------------------------------------------------
Score: 84.88% (Higher is better)
Description: Aggregated score of column shapes and pair trends.

2. Column Shapes (Distribution Similarity)
--------------------------------------------------
Evaluates how well synthetic data matches the distribution of individual columns.

Column                         Metric               Score     
panda                          clover                         99.05%    
panda                          bubble                         80.99%    
panda                          cookie                         77.06%    
koala                          otter                          77.86%    
koala                          hedgehog                       78.88%    
koala                          squirrel                       81.03%    
koala                          dolphin                        82.85%    
koala                          penguin                        82.57%    
koala                          turtle                         79.48%    
koala                          elephant                       75.28%    
koala                          giraffe                        82.50%    
koala                          lamb                           80.11%    
koala                          goat                           80.56%    
koala                          cow                            32.35%    
koala                          horse                          69.38%    
koala                          donkey                         77.26%    
koala                          pony                           82.60%    
koala                          llama                          83.13%    
koala                          mouse                          78.83%    
koala                          hamster                        77.47%    
koala                          guinea                         72.45%    
koala                          duck                           74.57%    
koala                          chicken                        74.61%    
koala                          sparrow                        82.70%    
koala                          parrot                         80.90%    
koala                          finch                          82.88%    
koala                          canary                         82.69%    
koala                          bee                            76.43%    
koala                          butterfly                      79.96%    
koala                          ladybug                        66.25%    
koala                          snail                          76.03%    
koala                          frog                           79.36%    
koala                          cricket                        73.43%    
koala                          tamarin                        75.06%    
koala                          wallaby                        80.98%    
koala                          wombat                         80.93%    
koala                          zebra                          81.74%    
koala                          flamingo                       75.70%    
koala                          peacock                        82.97%    
koala                          bat                            82.53%    
koala                          fox                            81.76%    
koala                          beaver                         80.66%    
koala                          monkey                         79.63%    
koala                          seal                           79.74%    
koala                          robin                          83.32%    
koala                          loon                           42.13%    
koala                          swan                           81.86%    
koala                          goldfish                       80.18%    
koala                          minnow                         82.25%    
koala                          mole                           80.56%    
koala                          shrew                          78.07%    
koala                          puffin                         83.09%    
koala                          owl                            80.78%    
koala                          bunny                          74.80%    
koala                          bear                           78.48%    
koala                          chipmunk                       78.29%    
koala                          cub                            69.35%    
koala                          acorn                          77.62%    
koala                          leaf                           79.21%    
koala                          cloud                          13.41%    
koala                          rainbow                        79.42%    
koala                          puddle                         82.82%    
koala                          berry                          70.74%    
koala                          apple                          80.09%    
koala                          honey                          74.99%    
koala                          pumpkin                        76.53%    
koala                          teddy                          80.90%    
koala                          blanket                        77.95%    
koala                          button                         80.89%    
koala                          whistle                        80.01%    
koala                          marble                         80.98%    
koala                          wagon                          70.04%    
koala                          storybook                      80.74%    
koala                          candle                         77.92%    
koala                          clover                         77.75%    
koala                          bubble                         77.39%    
koala                          cookie                         75.65%    
otter                          hedgehog                       77.69%    
otter                          squirrel                       82.36%    
otter                          dolphin                        82.61%    
otter                          penguin                        80.86%    
otter                          turtle                         77.87%    
otter                          elephant                       76.80%    
otter                          giraffe                        81.77%    
otter                          lamb                           82.64%    
otter                          goat                           80.24%    
otter                          cow                            32.65%    
otter                          horse                          69.94%    
otter                          donkey                         80.95%    
otter                          pony                           80.15%    
otter                          llama                          51.81%    
otter                          mouse                          82.11%    
otter                          hamster                        79.59%    
otter                          guinea                         73.63%    
otter                          duck                           79.31%    
otter                          chicken                        74.52%    
otter                          sparrow                        82.69%    
otter                          parrot                         80.61%    
otter                          finch                          82.56%    
otter                          canary                         78.36%    
otter                          bee                            77.73%    
otter                          butterfly                      81.03%    
otter                          ladybug                        82.17%    
otter                          snail                          77.65%    
otter                          frog                           81.23%    
otter                          cricket                        74.43%    
otter                          tamarin                        77.82%    
otter                          wallaby                        80.10%    
otter                          wombat                         82.23%    
otter                          zebra                          82.30%    
otter                          flamingo                       80.44%    
otter                          peacock                        82.69%    
otter                          bat                            81.81%    
otter                          fox                            80.37%    
otter                          beaver                         81.61%    
otter                          monkey                         80.75%    
otter                          seal                           82.54%    
otter                          robin                          82.17%    
otter                          loon                           42.84%    
otter                          swan                           79.78%    
otter                          goldfish                       82.00%    
otter                          minnow                         82.56%    
otter                          mole                           80.43%    
otter                          shrew                          78.95%    
otter                          puffin                         82.48%    
otter                          owl                            82.44%    
otter                          bunny                          78.59%    
otter                          bear                           76.24%    
otter                          chipmunk                       77.18%    
otter                          cub                            75.51%    
otter                          acorn                          78.47%    
otter                          leaf                           77.25%    
otter                          cloud                          14.09%    
otter                          rainbow                        77.93%    
otter                          puddle                         82.85%    
otter                          berry                          73.95%    
otter                          apple                          80.96%    
otter                          honey                          81.43%    
otter                          pumpkin                        78.03%    
otter                          teddy                          81.87%    
otter                          blanket                        80.72%    
otter                          button                         80.32%    
otter                          whistle                        82.29%    
otter                          marble                         80.60%    
otter                          wagon                          77.87%    
otter                          storybook                      80.48%    
otter                          candle                         79.81%    
otter                          clover                         79.49%    
otter                          bubble                         82.28%    
otter                          cookie                         77.73%    
hedgehog                       squirrel                       86.02%    
